system,step,shared_future,fragmentation,coherence,survivability
competitive,513,0.0,1.0,1.0,0.74
competitive,514,0.0,1.0,1.0,0.74
competitive,515,0.0,1.0,1.0,0.74
competitive,516,0.0,1.0,1.0,0.74
competitive,517,0.0,1.0,1.0,0.74
competitive,518,0.0,1.0,1.0,0.74
competitive,519,0.0,1.0,1.0,0.74
competitive,520,0.0,1.0,1.0,0.74
competitive,521,0.0,1.0,1.0,0.74
competitive,522,0.0,1.0,1.0,0.74
competitive,523,0.0,1.0,1.0,0.74
competitive,524,0.0,1.0,1.0,0.74
competitive,525,0.0,1.0,1.0,0.74
competitive,526,0.0,1.0,1.0,0.74
competitive,527,0.0,1.0,1.0,0.74
competitive,528,0.0,1.0,1.0,0.74
competitive,529,0.0,1.0,1.0,0.74
competitive,530,0.0,1.0,1.0,0.74
competitive,531,0.0,1.0,1.0,0.74
competitive,532,0.0,1.0,1.0,0.74
competitive,533,0.0,1.0,1.0,0.74
competitive,534,0.0,1.0,1.0,0.74
competitive,535,0.0,1.0,1.0,0.74
competitive,536,0.0,1.0,1.0,0.74
competitive,537,0.0,1.0,1.0,0.74
competitive,538,0.0,1.0,1.0,0.74
competitive,539,0.0,1.0,1.0,0.74
competitive,540,0.0,1.0,1.0,0.74
competitive,541,0.0,1.0,1.0,0.74
competitive,542,0.0,1.0,1.0,0.74
competitive,543,0.0,1.0,1.0,0.74
competitive,544,0.0,1.0,1.0,0.74
competitive,545,0.0,1.0,1.0,0.74
competitive,546,0.0,1.0,1.0,0.74
competitive,547,0.0,1.0,1.0,0.74
competitive,548,0.0,1.0,1.0,0.74
competitive,549,0.0,1.0,1.0,0.74
competitive,550,0.0,1.0,1.0,0.74
competitive,551,0.0,1.0,1.0,0.74
competitive,552,0.0,1.0,1.0,0.74
competitive,553,0.0,1.0,1.0,0.74
competitive,554,0.0,1.0,1.0,0.74
competitive,555,0.0,1.0,1.0,0.74
competitive,556,0.0,1.0,1.0,0.74
competitive,557,0.0,1.0,1.0,0.74
competitive,558,0.0,1.0,1.0,0.74
competitive,559,0.0,1.0,1.0,0.74
competitive,560,0.0,1.0,1.0,0.74
competitive,561,0.0,1.0,1.0,0.74
competitive,562,0.0,1.0,1.0,0.74
competitive,563,0.0,1.0,1.0,0.74
competitive,564,0.0,1.0,1.0,0.74
competitive,565,0.0,1.0,1.0,0.74
competitive,566,0.0,1.0,1.0,0.74
competitive,567,0.0,1.0,1.0,0.74
competitive,568,0.0,1.0,1.0,0.74
competitive,569,0.0,1.0,1.0,0.74
competitive,570,0.0,1.0,1.0,0.74
competitive,571,0.0,1.0,1.0,0.74
competitive,572,0.0,1.0,1.0,0.74
competitive,573,0.0,1.0,1.0,0.74
competitive,574,0.0,1.0,1.0,0.74
competitive,575,0.0,1.0,1.0,0.74
competitive,576,0.0,1.0,1.0,0.74
competitive,577,0.0,1.0,1.0,0.74
competitive,578,0.0,1.0,1.0,0.74
competitive,579,0.0,1.0,1.0,0.74
competitive,580,0.0,1.0,1.0,0.74
competitive,581,0.0,1.0,1.0,0.74
competitive,582,0.0,1.0,1.0,0.74
competitive,583,0.0,1.0,1.0,0.74
