scarcity,fragmentation,visibility,coupling,antifragile_score,unification_score,margin_unification_minus_antifragile,winner,near_boundary
0.0,0.0,0.8,0.15,0.317193,1.143327,0.826134,unification,False
0.0,0.0,0.8,0.2,0.310419,1.225627,0.915208,unification,False
0.0,0.0,0.8,0.25,0.303793,1.259467,0.955674,unification,False
0.0,0.0,0.8,0.3,0.244115,1.323022,1.078908,unification,False
0.0,0.0,0.8,0.35,0.25727,1.434959,1.177689,unification,False
0.0,0.0,0.8,0.4,0.208529,1.449381,1.240852,unification,False
0.0,0.0,0.8,0.45,0.210352,1.516356,1.306004,unification,False
0.0,0.0,0.8,0.5,0.208801,1.528706,1.319904,unification,False
0.0,0.0,0.8,0.55,0.146832,1.62794,1.481107,unification,False
0.0,0.0,0.8,0.6,0.091991,1.685909,1.593918,unification,False
0.0,0.0,0.8,0.65,0.109621,1.767472,1.657851,unification,False
0.0,0.0,0.8,0.7,0.142824,1.828873,1.686049,unification,False
0.0,0.0,0.8,0.75,0.07173,1.896076,1.824346,unification,False
0.0,0.0,0.8,0.8,0.106229,1.935601,1.829372,unification,False
0.0,0.0,0.8,0.85,0.039736,2.036464,1.996728,unification,False
0.0,0.0,0.8,0.9,0.039462,2.101187,2.061726,unification,False
0.0,0.0,0.8,0.95,0.027159,2.165042,2.137883,unification,False
0.0,0.0,0.8,1.0,-0.015877,2.209698,2.225575,unification,False
0.0,0.0,0.85,0.0,0.377233,0.989603,0.61237,unification,False
0.0,0.0,0.85,0.05,0.325913,1.099644,0.773731,unification,False
0.0,0.0,0.85,0.1,0.338726,1.119443,0.780717,unification,False
0.0,0.0,0.85,0.15,0.327596,1.2357,0.908105,unification,False
0.0,0.0,0.85,0.2,0.255482,1.232584,0.977102,unification,False
0.0,0.0,0.85,0.25,0.271928,1.369029,1.097102,unification,False
0.0,0.0,0.85,0.3,0.284565,1.414183,1.129618,unification,False
0.0,0.0,0.85,0.35,0.231496,1.429512,1.198016,unification,False
0.0,0.0,0.85,0.4,0.253695,1.521457,1.267762,unification,False
0.0,0.0,0.85,0.45,0.238718,1.577808,1.33909,unification,False
0.0,0.0,0.85,0.5,0.214454,1.648953,1.434499,unification,False
0.0,0.0,0.85,0.55,0.209444,1.727675,1.518231,unification,False
0.0,0.0,0.85,0.6,0.132003,1.713818,1.581815,unification,False
0.0,0.0,0.85,0.65,0.180044,1.862193,1.682149,unification,False
0.0,0.0,0.85,0.7,0.111984,1.848504,1.73652,unification,False
0.0,0.0,0.85,0.75,0.122476,1.980771,1.858295,unification,False
0.0,0.0,0.85,0.8,0.14744,2.032907,1.885468,unification,False
0.0,0.0,0.85,0.85,0.075707,2.060172,1.984465,unification,False
