agent,step,gv,mode,truth,constraint,coherence,autonomy,escalation,reasons
truth_drift_runtime,52,0.90753,STABLE,0.796989,0.968922,0.861031,1.0,0,
truth_drift_runtime,53,0.914803,STABLE,0.804995,0.973792,0.868839,1.0,0,
truth_drift_runtime,54,0.913673,STABLE,0.804902,0.970388,0.868335,1.0,0,
truth_drift_runtime,55,0.922908,STABLE,0.81508,0.977531,0.878129,1.0,0,
truth_drift_runtime,56,0.936889,STABLE,0.830385,0.989501,0.892803,1.0,0,
truth_drift_runtime,57,0.941291,STABLE,0.836688,0.991916,0.898116,1.0,0,
truth_drift_runtime,58,0.947364,STABLE,0.844779,0.996097,0.905131,1.0,0,
truth_drift_runtime,59,0.950039,STABLE,0.849656,0.996948,0.90881,1.0,0,
truth_drift_runtime,60,0.952024,STABLE,0.853867,0.997199,0.911795,1.0,0,
truth_drift_runtime,61,0.946684,STABLE,0.850743,0.990213,0.90744,1.0,0,
truth_drift_runtime,62,0.952153,STABLE,0.858087,0.994181,0.913742,1.0,0,
truth_drift_runtime,63,0.953115,STABLE,0.861088,0.993685,0.915596,1.0,0,
truth_drift_runtime,64,0.969395,STABLE,0.885909,1.0,0.936022,1.0,0,
truth_drift_runtime,65,0.974572,STABLE,0.904837,1.0,0.946709,1.0,0,
truth_drift_runtime,66,0.976315,STABLE,0.91136,1.0,0.950362,1.0,0,
truth_drift_runtime,67,0.969348,STABLE,0.906212,0.992369,0.944121,1.0,0,
truth_drift_runtime,68,0.959428,STABLE,0.897714,0.981871,0.934766,1.0,0,
truth_drift_runtime,69,0.973294,STABLE,0.912489,0.995269,0.948987,1.0,0,
truth_drift_runtime,70,0.923763,STABLE,0.83951,0.980401,0.887439,1.0,0,
truth_drift_runtime,71,0.910574,STABLE,0.826558,0.964562,0.87469,1.0,0,
truth_drift_runtime,72,0.925066,STABLE,0.840689,0.976742,0.889334,1.0,0,
truth_drift_runtime,73,0.933744,STABLE,0.849693,0.983194,0.898384,1.0,0,
truth_drift_runtime,74,0.926134,STABLE,0.842798,0.973467,0.891263,1.0,0,
truth_drift_runtime,75,0.925476,STABLE,0.842484,0.970928,0.890915,1.0,0,
truth_drift_runtime,76,0.932218,STABLE,0.849532,0.975949,0.897925,1.0,0,
truth_drift_runtime,77,0.936351,STABLE,0.85427,0.978446,0.902425,1.0,0,
truth_drift_runtime,78,0.93674,STABLE,0.855428,0.977292,0.90323,1.0,0,
truth_drift_runtime,79,0.938996,STABLE,0.858441,0.978119,0.905882,1.0,0,
truth_drift_runtime,80,0.939611,STABLE,0.859885,0.977393,0.90691,1.0,0,
truth_drift_runtime,81,0.944237,STABLE,0.865334,0.980773,0.911936,1.0,0,
truth_drift_runtime,82,0.961724,STABLE,0.88382,0.997064,0.929886,1.0,0,
truth_drift_runtime,83,0.937563,STABLE,0.861406,0.971638,0.906492,1.0,0,
truth_drift_runtime,84,0.9385,STABLE,0.862918,0.971595,0.907702,1.0,0,
truth_drift_runtime,85,0.943509,STABLE,0.868522,0.97569,0.912986,1.0,0,
truth_drift_runtime,86,0.949354,STABLE,0.875163,0.980643,0.919185,1.0,0,
truth_drift_runtime,87,0.948103,STABLE,0.874939,0.978511,0.918381,1.0,0,
truth_drift_runtime,88,0.933112,STABLE,0.860874,0.962706,0.903791,1.0,0,
truth_drift_runtime,89,0.940081,STABLE,0.868049,0.969044,0.910856,1.0,0,
truth_drift_runtime,90,0.960535,STABLE,0.889017,0.988856,0.931533,1.0,0,
truth_drift_runtime,91,0.946884,STABLE,0.876786,0.974431,0.918484,1.0,0,
truth_drift_runtime,92,0.958236,STABLE,0.888875,0.985166,0.930147,1.0,0,
truth_drift_runtime,93,0.956843,STABLE,0.888701,0.983097,0.929267,1.0,0,
truth_drift_runtime,94,0.958245,STABLE,0.891204,0.98387,0.93113,1.0,0,
truth_drift_runtime,95,0.832035,WATCH,0.710284,0.936693,0.774508,1.0,0,truth drift
truth_drift_runtime,96,0.857406,STABLE,0.731396,0.954884,0.799414,1.0,0,
truth_drift_runtime,97,0.871674,STABLE,0.744744,0.96441,0.814304,1.0,0,
truth_drift_runtime,98,0.896355,STABLE,0.769214,0.984652,0.839728,1.0,0,
truth_drift_runtime,99,0.913655,STABLE,0.78745,0.997685,0.858099,1.0,0,
truth_drift_runtime,100,0.921847,STABLE,0.797793,1.0,0.86798,1.0,0,
truth_drift_runtime,101,0.939393,STABLE,0.820894,1.0,0.88964,1.0,0,
truth_drift_runtime,102,0.945317,STABLE,0.830299,1.0,0.897473,1.0,0,
truth_drift_runtime,103,0.952909,STABLE,0.84333,1.0,0.908032,1.0,0,
truth_drift_runtime,104,0.951545,STABLE,0.844751,0.997034,0.907895,1.0,0,
truth_drift_runtime,105,0.953961,STABLE,0.849764,0.997943,0.911446,1.0,0,
truth_drift_runtime,106,0.948606,STABLE,0.846996,0.991137,0.907214,1.0,0,
truth_drift_runtime,107,0.959745,STABLE,0.861176,1.0,0.919775,1.0,0,
truth_drift_runtime,108,0.949259,STABLE,0.85328,0.988217,0.910382,1.0,0,
truth_drift_runtime,109,0.959193,STABLE,0.865212,0.997007,0.921157,1.0,0,
truth_drift_runtime,110,0.958703,STABLE,0.867079,0.995346,0.921654,1.0,0,
truth_drift_runtime,111,0.968153,STABLE,0.882513,1.0,0.933869,1.0,0,
truth_drift_runtime,112,0.971493,STABLE,0.893312,1.0,0.940255,1.0,0,
truth_drift_runtime,113,0.977156,STABLE,0.914506,1.0,0.952123,1.0,0,
truth_drift_runtime,114,0.979748,STABLE,0.924207,1.0,0.957556,1.0,0,
truth_drift_runtime,115,0.964595,STABLE,0.910609,0.98428,0.943024,1.0,0,
truth_drift_runtime,116,0.96563,STABLE,0.912442,0.984899,0.944371,1.0,0,
truth_drift_runtime,117,0.95555,STABLE,0.903174,0.974417,0.934608,1.0,0,
truth_drift_runtime,118,0.952758,STABLE,0.900702,0.971332,0.931932,1.0,0,
